Strike_Type,Camera_Angle,Video_Name,Frame_ID,R_Elbow_Angle,L_Elbow_Angle,R_Shoulder_Angle,L_Shoulder_Angle,R_Wrist_Angle,L_Wrist_Angle,R_Hip_Angle,L_Hip_Angle,R_Knee_Angle,L_Knee_Angle,Torso_Lean,Head_Dir_X,Head_Dir_Y,Dist_Wrists,Dist_R_Wrist_Shoulder,Dist_L_Wrist_Shoulder
strike_1,front,Strike_1.0,0.jpg,149.98,62.97,18.21,21.74,,,165.54,165.81,180.0,176.91,180.0,3.06,3.06,82.25,122.43,82.25
strike_1,front,Strike_1.0,1.jpg,149.98,62.97,18.21,21.74,,,165.54,165.81,180.0,176.91,180.0,3.06,3.06,82.31,122.52,82.31
strike_1,front,Strike_1.0,2.jpg,149.98,62.97,18.21,21.74,,,165.54,165.81,180.0,176.91,180.0,3.06,3.06,82.39,122.64,82.39
strike_1,front,Strike_1.0,3.jpg,149.98,62.1,18.21,27.18,,,165.81,165.81,179.43,176.91,180.0,3.03,6.06,85.76,121.43,77.66
strike_1,front,Strike_1.0,4.jpg,149.98,63.43,16.04,25.53,,,170.69,166.13,177.02,176.91,178.92,-3.02,0.0,85.3,120.78,82.03
strike_1,front,Strike_1.0,5.jpg,150.7,63.43,17.17,25.53,,,166.13,163.44,179.43,179.6,180.0,-3.03,6.06,85.67,127.35,82.39
strike_1,front,Strike_1.0,6.jpg,149.98,65.66,18.21,22.78,,,165.54,165.81,177.15,176.91,-180.0,0.0,3.07,86.83,122.94,78.62
strike_1,front,Strike_1.0,7.jpg,148.06,63.43,17.49,25.85,,,165.54,165.81,177.3,176.47,-180.0,-3.14,0.0,84.4,125.62,85.32
strike_1,front,Strike_1.0,8.jpg,142.77,62.59,20.88,25.85,,,170.43,163.12,176.72,177.88,178.88,-3.14,0.0,89.23,119.29,81.86
strike_1,front,Strike_1.0,9.jpg,142.77,64.65,20.62,23.13,,,170.56,162.78,176.52,177.88,178.88,-3.15,0.0,89.53,119.69,76.89
strike_1,front,Strike_1.0,10.jpg,141.55,66.37,21.84,27.18,,,170.69,163.12,179.71,177.58,178.9,-3.07,0.0,85.17,110.35,79.94
strike_1,front,Strike_1.0,11.jpg,146.31,65.85,24.0,27.18,,,165.81,163.12,177.57,177.58,180.0,0.0,0.0,93.26,104.26,76.72
strike_1,front,Strike_1.0,12.jpg,141.58,65.85,26.57,27.18,,,170.69,165.81,179.71,176.91,178.9,-3.08,6.16,99.53,105.45,77.19
strike_1,front,Strike_1.0,13.jpg,133.75,71.57,31.03,27.18,,,167.98,165.81,177.57,176.47,178.9,-3.14,0.0,97.39,102.12,84.17
strike_1,front,Strike_1.0,14.jpg,130.6,71.57,35.36,27.18,,,172.87,163.12,176.39,177.88,177.8,-3.17,6.34,98.39,104.53,85.03
strike_1,front,Strike_1.0,15.jpg,142.13,71.57,33.15,27.18,,,170.69,163.12,176.39,177.88,178.9,-3.17,6.33,103.08,98.3,84.95
strike_1,front,Strike_1.0,16.jpg,169.59,76.36,28.84,28.73,,,172.87,163.12,176.39,177.88,177.8,-6.38,6.38,116.36,103.02,82.89
strike_1,front,Strike_1.0,17.jpg,133.99,69.15,17.15,35.66,,,170.43,165.47,176.39,176.47,178.85,-3.2,9.59,115.79,89.05,77.25
strike_1,front,Strike_1.0,18.jpg,130.6,69.15,20.88,35.66,,,170.43,165.47,176.39,176.47,178.85,-3.19,3.19,115.67,88.96,77.17
strike_1,front,Strike_1.0,19.jpg,178.32,69.78,36.58,35.66,,,172.7,162.78,176.39,179.16,177.71,0.0,6.41,128.18,83.56,75.02
strike_1,front,Strike_1.0,20.jpg,170.54,75.32,42.12,28.38,,,170.56,167.98,177.15,176.47,180.0,-3.16,6.33,139.32,81.02,74.05
strike_1,front,Strike_1.0,21.jpg,163.74,69.78,43.21,32.91,,,168.22,168.22,179.43,176.47,180.0,0.0,6.27,144.29,93.26,73.43
strike_1,front,Strike_1.0,22.jpg,165.96,70.56,48.81,32.28,,,173.7,169.09,176.78,174.41,179.05,0.0,2.86,154.7,89.44,65.28
strike_1,front,Strike_1.0,23.jpg,165.96,65.38,53.21,36.49,,,173.7,167.04,176.78,178.9,179.06,0.0,5.7,159.83,90.2,65.04
